cart_recognition,day,number_truck,total_cart
0,12/03/20-11:20:50,0,4
1,12/03/20-11:22:50,1020,4
1,12/03/20-11:23:41,1020,4
1,12/03/20-11:52:09,1020,4
1,12/03/20-11:54:34,1020,4
1,12/03/20-11:55:56,1020,2
1,12/03/20-11:56:45,1020,4
0,12/03/20-11:57:27,0,2
1,12/03/20-11:58:57,1020,3
1,12/03/20-12:02:13,1020,4
1,12/03/20-12:03:10,1020,4
1,12/03/20-12:05:31,1020,4
1,12/03/20-12:06:31,1020,2
1,12/03/20-14:06:48,1020,4
1,12/03/20-14:11:10,1020,4
1,12/03/20-14:12:53,1020,2
1,12/03/20-14:13:51,1020,3
0,12/03/20-14:14:58,0,3
1,12/03/20-14:18:47,1020,3
1,12/03/20-14:21:36,1020,2
1,12/03/20-14:23:17,1020,3
1,12/03/20-14:25:16,1020,2
1,12/03/20-14:26:41,1020,3
1,12/03/20-14:30:29,1020,4
1,12/03/20-14:36:22,1020,4
1,12/03/20-14:36:55,1020,2
1,12/03/20-14:57:51,1020,3
0,12/03/20-14:58:37,0,2
0,19/03/20-16:58:23,0,3
1,19/03/20-17:06:25,2020,3
1,19/03/20-17:09:25,2020,3
1,19/03/20-17:12:32,2020,3
1,19/03/20-17:14:15,2020,3
1,19/03/20-17:15:42,2020,3
0,02/04/20-15:17:31,0,2
1,02/04/20-15:25:15,9023,2
0,09/04/20-10:47:33,0,2
0,09/04/20-10:54:05,0,2
0,09/04/20-10:57:21,QRBE2,2
0,09/04/20-10:59:21,QRBE2,2
0,09/04/20-11:00:35,QRBE2,2
0,09/04/20-11:10:24,QRBE2,2
0,09/04/20-11:12:26,QRBE2,2
0,09/04/20-11:14:09,QRBE2,2
0,09/04/20-11:16:10,QRBE2,2
0,09/04/20-11:17:33,QRBE2,2
0,09/04/20-11:20:26,QRBE2,2
0,09/04/20-11:21:53,QRBE2,2
0,09/04/20-11:23:39,QRBE2,2
0,09/04/20-11:26:12,QRBE2,2
0,09/04/20-11:27:21,QRBE2,2
0,09/04/20-11:28:42,QRBE2,2
0,09/04/20-11:31:15,QRBE2,2
0,09/04/20-11:31:53,QRBE2,2
0,09/04/20-11:32:59,QRBE2,2
0,09/04/20-11:34:37,QRBE2,2
0,09/04/20-11:36:40,QRBE2,2
0,09/04/20-11:37:29,QRBE2,2
0,09/04/20-11:45:58,QRBE2,2
0,09/04/20-11:46:32,QRBE2,2
0,09/04/20-11:47:54,QRBE2,2
0,09/04/20-11:48:37,QRBE2,2
0,09/04/20-11:50:07,QRBE2,2
0,09/04/20-11:51:24,QRBE2,2
0,09/04/20-11:52:56,QRBE2,2
0,09/04/20-11:55:31,QRBE2,2
1,09/04/20-11:56:20,QRBE2,2
0,09/04/20-11:57:32,QRBE2,2
1,09/04/20-12:14:35,QRBE2,3
1,09/04/20-17:45:47,QRBE2,12
1,09/04/20-17:49:07,QRBE2,8
1,09/04/20-17:52:16,QRBE2,6
0,09/04/20-17:53:37,QRBE2,4

1020,13/04/20-10:56:30,QRBE2,1
1020,13/04/20-11:00:37,"QRBE2,1020,1,1020",1
1,13/04/20-11:02:23,1020,1
1,15/04/20-10:39:00,1020,2
1,15/04/20-10:41:18,1020,2
0,15/04/20-10:43:27,0,2
1,15/04/20-10:45:44,1020,2
1,15/04/20-10:47:08,1020,2
0,15/04/20-10:47:41,0,1
1,15/04/20-10:49:22,1020,2
1,15/04/20-10:51:03,1020,2
1,15/04/20-11:03:14,1020,2
1,15/04/20-11:07:36,1020,2
1,15/04/20-11:10:12,1020,2
1,15/04/20-11:12:01,1020,2
1,15/04/20-11:16:06,1020,2
1,15/04/20-11:21:56,1020,2
1,15/04/20-11:22:20,1020,1
1,15/04/20-11:25:32,1020,2
1,15/04/20-11:25:54,1020,2
1,15/04/20-11:27:01,1020,1
1,15/04/20-11:27:48,1020,2
1,15/04/20-11:35:28,1020,2
1,15/04/20-11:36:28,1020,2
1,15/04/20-11:37:08,1020,1
1,15/04/20-11:39:09,1020,2
1,15/04/20-11:41:21,1020,2
1,15/04/20-11:44:16,1020,1
1,15/04/20-11:57:44,1020,2
1,15/04/20-12:07:01,1020,2
1,15/04/20-12:23:55,1020,2
1,15/04/20-12:24:50,1020,2
1,15/04/20-12:25:58,1020,2
1,15/04/20-12:27:02,1020,2
1,15/04/20-12:30:23,1020,2
1,15/04/20-12:31:39,1020,2
0,15/04/20-12:33:09,0,1
0,15/04/20-12:33:18,0,1
1,15/04/20-12:48:44,1020,2
1,15/04/20-12:49:09,1020,2
1,15/04/20-12:49:16,1020,1
1,15/04/20-12:50:21,1020,2
1,15/04/20-12:52:31,1020,2
1,15/04/20-12:53:40,1020,2
1,15/04/20-12:54:20,1020,2
1,15/04/20-12:56:44,1020,1
1,15/04/20-12:57:46,1020,1
0,15/04/20-13:00:35,0,2
1,15/04/20-13:06:48,1020,2
1,15/04/20-13:46:39,1020,2
1,15/04/20-13:47:17,1020,2
1,15/04/20-13:49:57,1020,2
1,15/04/20-13:50:44,1020,2
1,15/04/20-14:16:31,1020,2
0,15/04/20-14:17:15,0,2
0,15/04/20-14:17:42,0,1
0,15/04/20-14:18:24,0,1
1,15/04/20-14:19:46,1020,2
1,15/04/20-14:22:38,1020,2
0,15/04/20-14:23:22,0,1
1,15/04/20-14:23:57,1020,2
0,15/04/20-14:25:21,0,1
0,15/04/20-14:26:41,0,1
1,15/04/20-14:27:07,1020,1
0,15/04/20-14:28:52,0,1
1,15/04/20-14:31:06,1020,2
1,15/04/20-14:31:32,1020,1
0,15/04/20-14:33:58,0,1
0,15/04/20-14:34:38,0,1
0,15/04/20-14:35:15,0,1
0,15/04/20-14:40:37,0,1
0,15/04/20-14:41:45,0,1
0,15/04/20-14:42:13,0,1
1,15/04/20-14:43:19,1020,2
1,15/04/20-14:46:37,1020,2
1,15/04/20-14:51:45,1020,2
1,15/04/20-15:20:16,1020,2
1,15/04/20-15:20:52,1020,2
1,15/04/20-15:23:04,1020,2
1,15/04/20-15:23:22,1020,1
1,15/04/20-15:28:57,1020,2
1,15/04/20-15:29:11,1020,1
0,15/04/20-15:29:17,0,1
1,15/04/20-15:34:06,1020,2
1,15/04/20-15:34:14,1020,1
1,15/04/20-15:36:04,1020,2
1,15/04/20-15:38:05,1020,2
1,15/04/20-15:39:06,1020,2
1,15/04/20-15:58:38,1020,2
0,15/04/20-15:58:53,0,2
1,15/04/20-15:59:07,1020,2
1,15/04/20-15:59:35,1020,2
1,16/04/20-08:38:55,2025,3
1,16/04/20-08:39:11,2025,4
1,16/04/20-08:44:09,2025,4
1,16/04/20-08:44:59,2025,4
1,16/04/20-08:45:05,2025,3
0,16/04/20-08:45:05,0,1
1,16/04/20-08:47:12,2025,3
1,16/04/20-08:47:17,2025,3
1,16/04/20-08:48:28,2025,4
0,16/04/20-08:48:29,0,1
1,16/04/20-08:49:34,2025,4
1,16/04/20-09:31:16,2025,4
0,16/04/20-09:31:16,0,1
0,16/04/20-09:31:17,0,1
1,16/04/20-09:41:53,2025,4
1,16/04/20-09:58:07,2025,1
1,16/04/20-10:15:55,2025,4
0,16/04/20-10:15:55,0,1
0,16/04/20-10:15:56,0,1
0,16/04/20-10:15:56,0,1
1,16/04/20-10:17:45,2025,4
1,16/04/20-10:22:28,2025,4
1,16/04/20-10:31:25,2025,1
1,16/04/20-10:37:00,2025,4
0,16/04/20-10:37:00,0,1
0,16/04/20-10:37:20,0,1
1,16/04/20-10:39:33,2025,4
1,16/04/20-10:40:17,2025,2
1,16/04/20-10:45:46,2025,4
1,16/04/20-10:46:19,2025,2
1,16/04/20-10:47:23,2025,3
1,16/04/20-10:48:54,2025,4
1,16/04/20-10:49:25,2025,2
1,16/04/20-10:50:02,2025,3
1,16/04/20-11:01:49,2025,4
1,16/04/20-11:02:20,2025,2
1,16/04/20-11:07:55,2025,4
1,16/04/20-11:08:21,2025,4
1,16/04/20-11:09:02,2025,3
1,16/04/20-11:23:31,2025,4
1,16/04/20-11:24:03,2025,2
1,16/04/20-11:24:50,2025,3
1,16/04/20-11:27:35,2025,4
1,16/04/20-11:28:08,2025,2
1,16/04/20-11:28:41,2025,2
0,16/04/20-11:30:21,0,3
1,16/04/20-11:32:40,2025,4
1,16/04/20-11:33:18,2025,2
1,16/04/20-11:34:09,2025,3
1,16/04/20-11:45:32,2025,4
1,16/04/20-11:46:08,2025,2
1,16/04/20-11:46:41,2025,3
1,16/04/20-11:48:26,2025,4
1,16/04/20-11:49:01,2025,3
1,16/04/20-11:54:57,2025,4
1,16/04/20-11:55:26,2025,2
1,16/04/20-12:43:03,2025,4
1,16/04/20-12:44:18,2025,2
1,16/04/20-12:54:29,2025,4
0,16/04/20-12:55:53,0,1
1,16/04/20-12:59:03,2025,4
1,16/04/20-13:07:02,2025,3
0,16/04/20-13:07:20,0,4
1,16/04/20-13:21:38,2025,4
1,16/04/20-13:55:26,2025,4
1,16/04/20-14:00:46,2025,4
1,16/04/20-14:04:01,2025,4
1,16/04/20-14:05:54,2025,3
1,16/04/20-14:06:56,2025,4
1,16/04/20-14:08:26,2025,4
1,16/04/20-14:09:15,2025,4
1,16/04/20-14:09:59,2025,4
1,16/04/20-14:12:21,2025,4
1,16/04/20-14:14:32,2025,4
1,16/04/20-14:35:06,2025,3
0,16/04/20-14:36:39,0,3
1,16/04/20-15:38:03,2025,4
1,16/04/20-15:39:04,2025,4
1,16/04/20-15:39:30,2025,4
1,16/04/20-15:42:11,2025,4
1,16/04/20-15:43:41,2025,2
1,16/04/20-15:45:11,2025,4
1,16/04/20-15:45:19,2025,4
